,periodCode,platformCode,channelCode,marketingInvestment,impressions,clicks,visits,conversions,deliveries
276,20200114,Sklik,sklik_pla,323.0,3097,72,66,6,6
277,20200114,Sklik,sklik_rem,354.9,15807,110,122,1,1
278,20200114,Sklik,sklik_sea,147.9,575,63,58,1,1
279,20200114,ZboziCz,zbozi,619.85,2768,74,52,2,2
280,20200114,unpaid,direct,0.0,0,0,589,8,7
281,20200114,unpaid,facebook,0.0,0,0,35,0,0
282,20200114,unpaid,internal,0.0,0,0,163,0,0
283,20200114,unpaid,notset,0.0,0,0,31,0,0
284,20200114,unpaid,organic,0.0,0,0,736,12,10
285,20200114,unpaid,push,0.0,0,0,1,0,0
286,20200114,unpaid,referral,0.0,0,0,218,4,3
287,20200115,AdWords,adwords_bra,160.49,478,268,326,14,14
288,20200115,AdWords,adwords_dsa,488.91,1578,64,67,0,0
289,20200115,AdWords,adwords_pla,9803.06,180791,2343,2437,33,33
290,20200115,AdWords,adwords_rem,658.08,22654,307,334,3,2
291,20200115,AdWords,adwords_sea,49.24,633,27,33,0,0
292,20200115,FacebookBusinessAdsManager,facebook,24.89,3481,5,0,0,0
293,20200115,FirmyCz,zbozi,80.54,758,4,5,0,0
294,20200115,HeurekaCz,heureka,252.46999999999997,0,45,65,1,1
295,20200115,Not tracked,notset,0.0,0,0,0,16,15
296,20200115,RtbHouse,rtbhouse,1024.49,25097,446,350,4,4
297,20200115,Silverpop,emailing,1290.32,0,0,1536,25,18
298,20200115,Sklik,sklik_bra,78.7,171,126,136,8,8
299,20200115,Sklik,sklik_pla,162.2,3562,39,38,0,0
300,20200115,Sklik,sklik_rem,401.4,17229,119,117,1,1
301,20200115,Sklik,sklik_sea,157.79,693,68,64,3,3
302,20200115,ZboziCz,zbozi,582.14,2750,57,45,1,1
303,20200115,unpaid,direct,0.0,0,0,538,8,8
304,20200115,unpaid,facebook,0.0,0,0,12,0,0
305,20200115,unpaid,internal,0.0,0,0,143,1,1
306,20200115,unpaid,notset,0.0,0,0,37,2,1
307,20200115,unpaid,organic,0.0,0,0,737,7,7
308,20200115,unpaid,referral,0.0,0,0,207,0,0
309,20200116,AdWords,adwords_bra,140.59,563,295,328,8,7
310,20200116,AdWords,adwords_dsa,402.12,1645,66,53,0,0
311,20200116,AdWords,adwords_pla,6777.77,135285,1601,1685,23,23
312,20200116,AdWords,adwords_rem,678.13,23344,313,325,0,0
313,20200116,AdWords,adwords_sea,78.24,576,33,40,0,0
314,20200116,FacebookBusinessAdsManager,facebook,135.38,6956,57,0,0,0
315,20200116,FirmyCz,zbozi,80.54,759,4,0,0,0
316,20200116,HeurekaCz,heureka,156.06,0,25,38,0,0
