,createdAt,platformCode,channelCode,marketingInvestment,impressions,clicks,visits,conversions,deliveries,revenue
122,2020-01-07,Sklik,sklik_sea,141.18,599.0,51.0,51.0,1.0,0.0,7831.0
123,2020-01-07,ZboziCz,zbozi,455.52,2430.0,51.0,41.0,0.0,0.0,
124,2020-01-07,unpaid,direct,0.0,0.0,0.0,538.0,14.0,12.0,
125,2020-01-07,unpaid,facebook,0.0,0.0,0.0,18.0,0.0,0.0,
126,2020-01-07,unpaid,internal,0.0,0.0,0.0,160.0,0.0,0.0,
127,2020-01-07,unpaid,notset,0.0,0.0,0.0,33.0,2.0,2.0,
128,2020-01-07,unpaid,organic,0.0,0.0,0.0,748.0,12.0,12.0,
129,2020-01-07,unpaid,referral,0.0,0.0,0.0,333.0,1.0,1.0,
130,2020-01-08,AdWords,adwords_bra,135.33,469.0,259.0,296.0,15.0,15.0,44272.0
131,2020-01-08,AdWords,adwords_dsa,14.47,218.0,5.0,5.0,0.0,0.0,
132,2020-01-08,AdWords,adwords_pla,9670.99,183557.0,2311.0,2397.0,25.0,24.0,29192.0
133,2020-01-08,AdWords,adwords_rem,282.86,13564.0,165.0,186.0,0.0,0.0,
134,2020-01-08,AdWords,adwords_sea,54.69,636.0,25.0,32.0,1.0,1.0,717.0
135,2020-01-08,Adform,adform_prospecting,0.0,0.0,0.0,1.0,0.0,0.0,
136,2020-01-08,FacebookBusinessAdsManager,facebook,59.52,1102.0,48.0,0.0,0.0,0.0,
137,2020-01-08,FirmyCz,zbozi,80.54,704.0,4.0,1.0,1.0,1.0,1163.0
138,2020-01-08,HeurekaCz,heureka,0.0,0.0,0.0,17.0,0.0,0.0,
139,2020-01-08,Not tracked,notset,0.0,0.0,0.0,0.0,25.0,25.0,
140,2020-01-08,RtbHouse,rtbhouse,4110.37,36406.0,764.0,575.0,10.0,10.0,43334.0
141,2020-01-08,Silverpop,emailing,1290.32,0.0,0.0,1182.0,29.0,28.0,112448.0
142,2020-01-08,Sklik,sklik_bra,89.2,190.0,143.0,156.0,6.0,6.0,19958.0
143,2020-01-08,Sklik,sklik_pla,231.4,2662.0,54.0,57.0,0.0,0.0,
144,2020-01-08,Sklik,sklik_rem,424.7000000000001,16616.0,130.0,128.0,1.0,1.0,4514.0
145,2020-01-08,Sklik,sklik_sea,175.10000000000002,588.0,60.0,60.0,2.0,2.0,1103.0
146,2020-01-08,ZboziCz,zbozi,514.96,2604.0,65.0,48.0,1.0,1.0,792.0
147,2020-01-08,unpaid,direct,0.0,0.0,0.0,578.0,9.0,9.0,
148,2020-01-08,unpaid,facebook,0.0,0.0,0.0,77.0,0.0,0.0,
149,2020-01-08,unpaid,internal,0.0,0.0,0.0,114.0,0.0,0.0,
150,2020-01-08,unpaid,notset,0.0,0.0,0.0,18.0,1.0,1.0,
151,2020-01-08,unpaid,organic,0.0,0.0,0.0,700.0,7.0,7.0,
152,2020-01-08,unpaid,referral,0.0,0.0,0.0,216.0,4.0,4.0,
153,2020-01-09,AdWords,adwords_bra,146.3,455.0,248.0,275.0,14.0,14.0,50228.0
